sample-id,MouseID_recoded,All,Genotype,Diet,Timepoint,Timepoint1vs2WTcontrol,Timepoint1vs2WTWestern,Timepoint1vs2HETcontrol,Timepoint1vs2HETWestern,Timepoint1vs2KOcontrol,Timepoint1vs2KOWestern,Timepoint1ControlWTvsHET,Timepoint1ControlWTvsKO,Timepoint1ControlHETvsKO
99,41_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
100,42_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
101,13_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
102,14_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
103,15_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
104,16_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
105,21_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
106,22_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
107,23_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
108,24_1,KO_t1_control,ko,Control,T1,NA,NA,NA,NA,KO_t1_control,NA,NA,KO_t1_control,KO_t1_control
109,45_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
110,31_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
111,33_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
112,34_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
113,44_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
114,35_1,KO_t1_western,ko,Western,T1,NA,NA,NA,NA,NA,KO_t1_western,NA,NA,NA
115,81_1,HET_t1_control,het,Control,T1,NA,NA,HET_t1_control,NA,NA,NA,HET_t1_control,NA,HET_t1_control
116,52_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
117,53_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
118,54_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
119,55_1,HET_t1_western,het,Western,T1,NA,NA,NA,HET_t1_western,NA,NA,NA,NA,NA
120,61_1,HET_t1_control,het,Control,T1,NA,NA,HET_t1_control,NA,NA,NA,HET_t1_control,NA,HET_t1_control
121,82_1,HET_t1_control,het,Control,T1,NA,NA,HET_t1_control,NA,NA,NA,HET_t1_control,NA,HET_t1_control
